平均气温(°C),最高气温(°C),最低气温(°C),平均湿度(%),总降水量(mm),平均风速(km/h),日照时数(h),参考蒸散量ET₀(mm),平均海平面气压(hPa),土壤温度0-7cm(°C),土壤湿度0-7cm(m³/m³),最大阵风(km/h),盛行风向(°),平均云量(%),平均露点温度(°C),日期,年份_int,月份_int,季节
21.603749999999998,30.98375,10.6675,75.93625,53.849999999999994,12.491999999999999,7.663912900309529,39.862500000000004,983.9749999999999,22.311249999999998,0.63375,30.887999999999995,145.36249999999998,80.83625,16.715,2011-04-01,2011,4,春季
23.8975,33.46625,14.333749999999998,77.48,178.36625,13.1355,9.605940418128446,99.39375,979.7375,24.435000000000002,0.715,33.282,120.28750000000001,68.75,19.312500000000004,2011-05-01,2011,5,春季
27.259999999999998,33.823750000000004,21.400000000000002,84.27874999999999,303.33750000000003,12.9285,8.529202702865714,102.1875,974.7500000000001,27.565,0.7549999999999999,37.9035,164.85,86.74374999999999,24.173750000000002,2011-06-01,2011,6,夏季
27.57625,33.377500000000005,23.301249999999996,82.85749999999999,116.48250000000002,11.538,12.386096066721151,188.20875,975.075,27.805000000000003,0.805,34.50600000000001,167.26250000000002,67.49249999999999,24.22875,2011-07-01,2011,7,夏季
27.145,34.47125,21.13875,80.16125,106.02000000000001,9.769499999999999,12.864581803170077,156.0075,977.4374999999998,27.492499999999996,0.73875,24.804000000000002,158.15,61.707499999999996,23.13125,2011-08-01,2011,8,夏季
25.784999999999997,33.72125,16.13875,77.19124999999998,141.7125,13.7925,12.414804554316945,109.0875,979.4749999999999,26.34875,0.6937500000000001,43.2585,58.95,65.95375,21.147499999999997,2011-09-01,2011,9,秋季
21.10375,30.44375,13.69875,81.38749999999999,145.23499999999999,13.23,10.889341666315465,103.96624999999999,986.0250000000001,21.396250000000002,0.7737500000000002,35.442,45.2,64.63,17.56375,2011-10-01,2011,10,秋季
19.5275,28.162499999999998,9.45375,78.60875000000001,37.762499999999996,11.286,13.433927802763785,74.775,987.3875,19.635,0.705,33.0705,57.962500000000006,46.7025,15.40875,2011-11-01,2011,11,秋季
11.0275,22.618749999999995,2.01875,67.4225,12.942499999999997,15.7185,11.778978523934853,21.1575,993.425,11.6175,0.64625,33.457499999999996,34.0375,61.9475,4.297499999999999,2011-12-01,2011,12,冬季
9.178749999999999,22.99375,-0.1825,79.41375,81.4525,14.022,1.566681074179906,8.835,991.075,10.11125,0.6812500000000001,31.8105,39.1625,95.37749999999998,5.57375,2012-01-01,2012,1,冬季
12.193750000000001,25.7875,2.6,77.76625,32.73375,15.070499999999997,2.308373463596493,12.6875,987.6375,13.17875,0.6637500000000001,32.589,50.85,95.11,8.165,2012-02-01,2012,2,冬季
17.70125,29.12875,6.7075,78.0075,68.00625000000001,14.656500000000001,5.340768061262153,28.1325,985.5000000000001,18.45125,0.6712500000000001,42.043499999999995,92.01249999999999,88.5325,13.376249999999999,2012-03-01,2012,3,春季
